interval,window,z_entry,z_exit,pair_category,leader,lagger,lag,base_correlation,max_correlation,sharpe_ratio,max_drawdown,max_drawdown_pct,total_return_pct,num_trades,win_rate,sortino_ratio,final_capital,volatility_annual
1d,30,2.5,0.5,Crypto-Crypto,BTCUSDT,SOLUSDT,0,0.7263653524210653,0.7263653524210503,-19.698283838295605,-0.3519428111322039,-35.19428111322039,-29.017611630106888,132,0.045454545454545456,-8.5524931540571,70982.38836989312,0.9969557552445314
1d,30,2.5,0.5,Crypto-Crypto,ETHUSDT,SOLUSDT,0,0.7043189095218266,0.7043189095218254,-17.18234651815769,-0.22056014960526707,-22.056014960526706,-22.056014960526703,142,0.09859154929577464,-6.585671401232405,77943.9850394733,0.8312741023694535
1d,60,1.5,0.3,Crypto-Crypto,BTCUSDT,ETHUSDT,0,0.7860844845881118,0.7860844845881071,-32.0683978081451,-0.5030608622995112,-50.30608622995112,-50.30608622995112,418,0.07655502392344497,-26.091527848022604,49693.91377004888,1.2561488928162654
1d,60,1.5,0.3,Crypto-Crypto,BTCUSDT,SOLUSDT,0,0.7263653524210653,0.7263653524210503,-22.122964443920296,-0.5253447410390704,-52.53447410390704,-52.53447410390704,398,0.05527638190954774,-20.2309871559734,47465.525896092964,1.8996349159366994
1d,60,1.5,0.3,Crypto-Crypto,ETHUSDT,SOLUSDT,0,0.7043189095218266,0.7043189095218254,-30.032543790372188,-0.6180083223748218,-61.80083223748218,-61.630409535996456,376,0.0851063829787234,-19.961233552755974,38369.59046400354,1.8177202318847854
1d,60,1.5,0.5,Crypto-Crypto,BTCUSDT,ETHUSDT,0,0.7860844845881118,0.7860844845881071,-52.0890082911973,-0.5913068904909657,-59.130689049096574,-59.130689049096574,420,0.05714285714285714,-33.65657050913499,40869.310950903426,0.999086841643325
1d,60,1.5,0.5,Crypto-Crypto,BTCUSDT,SOLUSDT,0,0.7263653524210653,0.7263653524210503,-24.823667348994498,-0.5096892171248196,-50.968921712481965,-50.968921712481965,404,0.04950495049504951,-23.56845693420845,49031.07828751804,1.6346282572474289
1d,60,1.5,0.5,Crypto-Crypto,ETHUSDT,SOLUSDT,0,0.7043189095218266,0.7043189095218254,-43.56765118912282,-0.6611743257297803,-66.11743257297803,-65.96626805782198,380,0.06315789473684211,-24.217485466131638,34033.73194217802,1.4286203583415875
1d,60,2.0,0.3,Crypto-Crypto,BTCUSDT,ETHUSDT,0,0.7860844845881118,0.7860844845881071,-20.44331000359165,-0.32793396014620857,-32.79339601462085,-31.570877803240272,242,0.06611570247933884,-14.64028467339949,68429.12219675972,1.0627281133495419
1d,60,2.0,0.3,Crypto-Crypto,BTCUSDT,SOLUSDT,0,0.7263653524210653,0.7263653524210503,-13.077505092122683,-0.354979430542958,-35.4979430542958,-34.857944460442305,240,0.058333333333333334,-10.244457748959547,65142.055539557696,1.8057394707904566
